Projeto,Strings_Comuns,pt_BR_Total,es_Total,fr_Total,de_Total,ru_Total,zh_CN_Total,vi_Total,id_Total,Taxa_Aproveitamento_%
nano_v8.4-pre1,614,636,636,636,636,614,636,628,636,96.54
wget_v1.25.0,596,597,597,596,597,597,597,597,597,99.83
tar_v1.35.90,589,594,594,591,589,591,591,591,594,99.16
parted_v3.4.64.2,542,565,570,542,570,570,570,570,570,95.09
gstreamer_v1.27.90,377,393,393,387,393,391,393,377,391,95.93
aspell_v0.60.8.1,297,303,303,303,303,303,297,297,303,98.02
diffutils_v3.10.242,262,265,262,265,265,265,265,262,265,98.87
man-db_v2.13.1-pre1,190,198,198,197,198,198,198,190,198,95.96
sed_v4.8.44,140,145,145,145,145,145,145,140,145,96.55
psmisc_v23.7-rc1,94,94,94,94,94,94,94,94,94,100.00
exif_v0.6.22,69,70,70,70,70,69,70,70,69,98.57
libiconv_v1.17-pre1,44,45,44,45,45,45,45,45,45,97.78
gst-plugins-bad_v1.27.90,28,29,29,29,29,29,29,28,29,96.55
xdg-user-dirs_v0.17,28,28,28,28,28,28,28,28,28,100.00
gst-plugins-ugly_v1.27.90,10,10,10,10,10,10,10,10,10,100.00
bison-runtime_v3.5.90,9,9,9,9,9,9,9,9,9,100.00
gtkspell_v3.0.7,7,7,7,7,7,7,7,7,7,100.00
