"pivot_config","emmean","SE","df","lower.CL","upper.CL",".group"
"es_fr",33.3695607771473,1.61451264260086,Inf,28.4763937421187,38.262727812176,"l"
"es_ru",33.2098075524873,1.61451264260086,Inf,28.3166405174586,38.1029745875159,"kl"
"es_id",33.1169776062375,1.61451264260086,Inf,28.2238105712088,38.0101446412662,"kl"
"fr_ru",32.7265032968771,1.61738799819563,Inf,27.8246218084344,37.6283847853198,"jkl"
"es_zh_cn",32.523914259114,1.61451264260086,Inf,27.6307472240854,37.4170812941427,"jkl"
"de_es",32.1095972402989,1.6145126426034,Inf,27.2164302052626,37.0027642753353,"ijk"
"fr_zh_cn",31.7601781992007,1.61451264260086,Inf,26.867011164172,36.6533452342293,"hij"
"fr_id",31.5559370526337,1.61451264260086,Inf,26.6627700176051,36.4491040876624,"ghij"
"de_fr",31.3156333922729,1.61451264260086,Inf,26.4224663572442,36.2088004273015,"fghi"
"de_ru",31.2281616096256,1.61451264260086,Inf,26.334994574597,36.1213286446543,"efghi"
"ru_zh_cn",31.1951580581083,1.61451264260086,Inf,26.3019910230796,36.088325093137,"efghi"
"id_ru",31.0332235344622,1.61451264260086,Inf,26.1400564994335,35.9263905694908,"efghi"
"es_vi",30.8569799284689,1.61451264260086,Inf,25.9638128934402,35.7501469634975,"defgh"
"ru_vi",30.5927069944065,1.61451264260086,Inf,25.6995399593779,35.4858740294352,"cdefg"
"de_zh_cn",30.3794968506792,1.61451264260086,Inf,25.4863298156505,35.2726638857078,"cdef"
"de_id",30.2864161963508,1.61451264260086,Inf,25.3932491613221,35.1795832313794,"cdef"
"fr_vi",30.1125506692226,1.61451264260086,Inf,25.2193836341939,35.0057177042512,"bcde"
"de_vi",29.820919815694,1.61451264260086,Inf,24.9277527806653,34.7140868507227,"bcd"
"id_zh_cn",29.641701659422,1.61451264260086,Inf,24.7485346243933,34.5348686944506,"bc"
"vi_zh_cn",28.9946151677769,1.61451264260086,Inf,24.1014481327482,33.8877822028055,"ab"
"id_vi",28.1700371559775,1.61451264260086,Inf,23.2768701209488,33.0632041910062,"a"
