"contrast","estimate","SE","df","z.ratio","p.value"
"de_es - es_fr",-1.25996353684842,0.315614005227743,Inf,-3.99210274569167,0.0012252540322667
"de_fr - es_fr",-2.05392738487447,0.315614005227764,Inf,-6.50771940045007,1.52515278184495e-09
"de_id - es_fr",-3.08314458079659,0.315614005227764,Inf,-9.76871916242004,7.14983627858601e-14
"de_ru - es_fr",-2.14139916752173,0.315614005227764,Inf,-6.78486737613682,2.32359131935311e-10
"de_vi - es_fr",-3.54864096145337,0.315614005227764,Inf,-11.2436105580691,1.15463194561016e-14
"de_zh_cn - es_fr",-2.99006392646819,0.315614005227763,Inf,-9.47379988511728,5.61772850460329e-14
"es_id - es_fr",-0.252583170909869,0.315614005227764,Inf,-0.800291389881738,0.983932656026286
"es_ru - es_fr",-0.159753224660097,0.315614005227764,Inf,-0.506166462875468,0.998603539849752
"es_vi - es_fr",-2.51258084867848,0.315614005227763,Inf,-7.96092951219091,1.22901688826005e-13
"es_zh_cn - es_fr",-0.845646518033312,0.315614005227764,Inf,-2.67936943236422,0.101498386141483
"fr_id - es_fr",-1.8136237245136,0.315614005227764,Inf,-5.74633474583865,1.81843878843679e-07
"fr_ru - es_fr",-0.643057480270231,0.330750103232933,Inf,-1.94423969632854,0.450208854352492
"fr_vi - es_fr",-3.2570101079248,0.315614005227764,Inf,-10.3195994283409,6.51700915454967e-14
"fr_zh_cn - es_fr",-1.60938257794668,0.315614005227763,Inf,-5.0992115409621,6.7491114820184e-06
"id_ru - es_fr",-2.33633724268519,0.315614005227764,Inf,-7.40251447650165,2.71471733981343e-12
"id_vi - es_fr",-5.19952362116984,0.315614005227763,Inf,-16.4743120870622,0
"id_zh_cn - es_fr",-3.72785911772537,0.315614005227763,Inf,-11.8114502397799,0
"ru_vi - es_fr",-2.77685378274082,0.315614005227764,Inf,-8.79825906564854,4.96269692007445e-14
"ru_zh_cn - es_fr",-2.17440271903906,0.315614005227764,Inf,-6.88943672657968,1.12045706046615e-10
"vi_zh_cn - es_fr",-4.37494560937046,0.315614005227764,Inf,-13.8616966829887,0
